code,lot
LV 110117.3 ,4
LV 110117.4 ,4
LV 110117.5 ,4
LV 110117.6 ,4
LV 110117.7 ,4
LV 110118.2 ,4
LV 110118.3 ,4
LV 110118.4 ,4
LV 110122.1 ,4
LV 110122.4 ,4
LV 110122.5 ,4
LV 110123.1 ,4
LV 110124.2 ,4
LV 110124.4 ,4
LV 110126.1 ,4
LV 110126.7 ,4
LV 110127.1 ,4
LV 110128.1 ,4
LV 110128.3 ,4
LV 110128.5 ,4
LV 110128.6 ,4
LV 110129.1 ,4
LV 110129.2 ,4
TR 801502,4
TR 826115,4
TR 826123,4
TR 826132,4
TR 826161,4
TR 826165,4
TR 826211,4
TR 826213,4
TR 826232,4
TR 826233,4
CHA 325.3 ,5
CHS 600.1 ,5
CHS 600.2 ,5
CHS 601.1 ,5
CHS 601.4 ,5
CHS 602.1 ,5
CHS 602.2 ,5
CHS 603.2 ,5
CHS 605.2 ,5
CHS 606.1 ,5
CHS 606.3 ,5
CHS 608.1 ,5
CHS 609.1 ,5
CHS 610.5 ,5
CHS 611.1 ,5
CHS 611.3 ,5
CHS 611.5 ,5
CHS 612.3 ,5
CHS 614.1 ,5
CHS 614.3 ,5
CHS 614.4 ,5
CHS 614.6 ,5
CHS 615.3 ,5
CHS 615.8 ,5
CHS 618.2 ,5
CHS 618.3 ,5
CHS 619.3 ,5
CHS 619.5 ,5
CHS 621.1 ,5
CHS 621.2 ,5
CHS 622.1 ,5
CHS 622.2 ,5
CHS 622.3 ,5
CHS 623.2 ,5
CHS 624.2 ,5
CHS 624.3 ,5
HAR 65EM104,5
HAR 65EM202,5
HAR 65EM303,5
HAR 65EM304,5
HAR FD73202,5
HAR FD73203,5
HAR FD73206,5
HAR FD73401,5
HAR FD73502,5
HAR FD73503,5
HAR FD73506,5
LV 110110.1 ,5
LV 110110.2 ,5
LV 110110.3 ,5
LV 110111.1 ,5
LV 110111.2 ,5
LV 110111.3 ,5
LV 110111.4 ,5
LV 110111.5 ,5
LV 110112.1 ,5
LV 110112.2 ,5
LV 110112.4 ,5
LV 110113.2 ,5
LV 110113.4 ,5
LV 110114.2 ,5
LV 110115.1 ,5
LV 110115.2 ,5
LV 110115.3 ,5
LV 110116.3 ,5
LV 110116.4 ,5
LV 110116.5 ,5
LV 110117.1 ,5
LV 110117.2 ,5
LV 110117.3 ,5
LV 110117.5 ,5
LV 110117.6 ,5
LV 110118.1 ,5
LV 110118.2 ,5
LV 110118.3 ,5
LV 110118.4 ,5
LV 110119.2 ,5
LV 110119.4 ,5
LV 110119.5 ,5
LV 110120.1 ,5
LV 110120.3 ,5
LV 110121.1 ,5
LV 110122.1 ,5
LV 110122.3 ,5
LV 110122.4 ,5
LV 110122.5 ,5
LV 110123.1 ,5
LV 110123.2 ,5
LV 110123.4 ,5
LV 110124.1 ,5
LV 110124.4 ,5
LV 110124.5 ,5
LV 110125.1 ,5
LV 110126.3 ,5
LV 110126.6 ,5
LV 110127.1 ,5
LV 110128.1 ,5
LV 110128.3 ,5
LV 110128.4 ,5
LV 110129.1 ,5
TR 801502,5
TR 826102,5
TR 826106,5
TR 826110,5
TR 826123,5
TR 826151,5
TR 826155,5
TR 826165,5
TR 826210,5
TR 826211,5
TR 826212,5
CHA 319.3 ,6
CHR 107.3 ,6
CHS 600.2 ,6
CHS 602.2 ,6
CHS 602.4 ,6
CHS 603.1 ,6
CHS 604.2 ,6
CHS 604.3 ,6
CHS 605.1 ,6
CHS 605.3 ,6
CHS 606.3 ,6
CHS 607.1 ,6
CHS 607.2 ,6
CHS 608.1 ,6
CHS 609.1 ,6
CHS 609.4 ,6
CHS 610.1 ,6
CHS 611.2 ,6
CHS 611.3 ,6
CHS 611.5 ,6
CHS 612.3 ,6
CHS 614.1 ,6
CHS 616.2 ,6
CHS 619.1 ,6
CHS 622.1 ,6
CHS 622.2 ,6
CHS 622.3 ,6
CHS 623.3 ,6
CHS 624.1 ,6
GS 141606,6
HAR 63HA401,6
HAR 65EM202,6
HAR 65EM302,6
HAR 65EM306,6
HAR FD73406,6
TR 801215,6
TR 801502,6
TR 826102,6
TR 826103,6
TR 826133,6
TR 826151,6
TR 826231,6
TR 826252,6
CHR 102.5 ,7
CHR 103.6 ,7
CHR 104.1 ,7
CHR 104.3 ,7
CHR 107.3 ,7
CHR 109.2 ,7
CHR 110.1 ,7
CHR 111.5 ,7
CHR 114.3 ,7
CHS 601.2 ,7
CHS 601.4 ,7
CHS 602.1 ,7
CHS 604.3 ,7
CHS 605.1 ,7
CHS 607.1 ,7
CHS 608.1 ,7
CHS 608.2 ,7
CHS 609.3 ,7
CHS 611.2 ,7
CHS 611.3 ,7
CHS 612.1 ,7
CHS 613.2 ,7
CHS 613.4 ,7
CHS 614.1 ,7
CHS 615.9 ,7
CHS 616.3 ,7
CHS 619.2 ,7
CHS 621.3 ,7
CHS 622.3 ,7
CHS 623.1 ,7
CHS 623.2 ,7
CHS 624.1 ,7
HAR 63HA305,7
HAR 63HA401,7
HAR 65EM101,7
HAR 65EM102,7
HAR 65EM106,7
HAR 65EM201,7
HAR 65EM403,7
HAR 65EM406,7
HAR FD73201,7
TR 801202,7
TR 801215,7
TR 826112,7
TR 826155,7
